model,branch_set,mode,omega,proportion_percent,run_type,replicate
alternative,reference,Diversifying selection,3.153,0.0,SRV,1
alternative,reference,Negative selection,0.004,0.0,SRV,1
alternative,reference,Negative selection,0.298,100.0,SRV,1
alternative,test,Diversifying selection,3.812,0.0,SRV,1
alternative,test,Diversifying selection,3.153,0.0,SRV,1
alternative,test,Negative selection,0.002,0.0,SRV,1
alternative,test,Negative selection,0.244,100.0,SRV,1
alternative,test,Negative selection,0.004,0.0,SRV,1
alternative,test,Negative selection,0.298,100.0,SRV,1
null,reference,Diversifying selection,1.181,0.0,SRV,1
null,reference,Negative selection,0.002,0.0,SRV,1
null,reference,Negative selection,0.293,100.0,SRV,1
null,test,Diversifying selection,1.181,0.0,SRV,1
null,test,Negative selection,0.002,0.0,SRV,1
null,test,Negative selection,0.293,100.0,SRV,1
alternative,reference,Diversifying selection,2.149,0.0,SRV,2
alternative,reference,Negative selection,0.247,3.902,SRV,2
alternative,reference,Negative selection,0.301,96.098,SRV,2
alternative,test,Diversifying selection,2.44,0.0,SRV,2
alternative,test,Diversifying selection,2.149,0.0,SRV,2
alternative,test,Negative selection,0.196,3.902,SRV,2
alternative,test,Negative selection,0.247,96.098,SRV,2
alternative,test,Negative selection,0.247,3.902,SRV,2
alternative,test,Negative selection,0.301,96.098,SRV,2
null,reference,Diversifying selection,4.288,0.0,SRV,2
null,reference,Negative selection,0.257,5.785,SRV,2
null,reference,Negative selection,0.296,94.215,SRV,2
null,test,Diversifying selection,4.288,0.0,SRV,2
null,test,Negative selection,0.257,5.785,SRV,2
null,test,Negative selection,0.296,94.215,SRV,2
alternative,reference,Diversifying selection,4.739,0.0,SRV,3
alternative,reference,Negative selection,0.267,0.0,SRV,3
alternative,reference,Negative selection,0.299,100.0,SRV,3
alternative,test,Diversifying selection,6.111,0.0,SRV,3
alternative,test,Diversifying selection,4.739,0.0,SRV,3
alternative,test,Negative selection,0.215,0.0,SRV,3
alternative,test,Negative selection,0.245,100.0,SRV,3
alternative,test,Negative selection,0.267,0.0,SRV,3
alternative,test,Negative selection,0.299,100.0,SRV,3
null,reference,Diversifying selection,1.457,0.0,SRV,3
null,reference,Negative selection,0.213,0.0,SRV,3
null,reference,Negative selection,0.293,100.0,SRV,3
null,test,Diversifying selection,1.457,0.0,SRV,3
null,test,Negative selection,0.213,0.0,SRV,3
null,test,Negative selection,0.293,100.0,SRV,3
alternative,reference,Diversifying selection,4.768,0.0,SRV,4
alternative,reference,Negative selection,0.272,0.0,SRV,4
alternative,reference,Negative selection,0.299,100.0,SRV,4
alternative,test,Diversifying selection,6.18,0.0,SRV,4
alternative,test,Diversifying selection,4.768,0.0,SRV,4
alternative,test,Negative selection,0.219,0.0,SRV,4
alternative,test,Negative selection,0.244,100.0,SRV,4
alternative,test,Negative selection,0.272,0.0,SRV,4
alternative,test,Negative selection,0.299,100.0,SRV,4
null,reference,Diversifying selection,1.35,0.0,SRV,4
null,reference,Negative selection,0.213,0.0,SRV,4
