model,branch_set,hit_class,rate,run_type,replicate
alternative,reference,2H,0.0832,SRV+Double,1
alternative,reference,2H,0.0059,SRV+Double,1
alternative,test,2H,0.0,SRV+Double,1
null,reference,2H,0.0056,SRV+Double,1
null,reference,2H,0.0054,SRV+Double,1
null,test,2H,0.0,SRV+Double,1
alternative,reference,2H,0.0834,SRV+Double,2
alternative,reference,2H,0.0054,SRV+Double,2
alternative,test,2H,0.0,SRV+Double,2
null,reference,2H,0.0057,SRV+Double,2
null,reference,2H,0.0056,SRV+Double,2
null,test,2H,0.0,SRV+Double,2
alternative,reference,2H,0.083,SRV+Double,3
alternative,reference,2H,0.0054,SRV+Double,3
alternative,test,2H,0.0,SRV+Double,3
null,reference,2H,0.0056,SRV+Double,3
null,reference,2H,0.0054,SRV+Double,3
null,test,2H,0.0,SRV+Double,3
alternative,reference,2H,0.0828,SRV+Double,4
alternative,reference,2H,0.0055,SRV+Double,4
alternative,test,2H,0.0,SRV+Double,4
null,reference,2H,0.0056,SRV+Double,4
null,reference,2H,0.0055,SRV+Double,4
null,test,2H,0.0,SRV+Double,4
alternative,reference,2H,0.0831,SRV+Double,5
alternative,reference,2H,0.0054,SRV+Double,5
alternative,test,2H,0.0,SRV+Double,5
null,reference,2H,0.0056,SRV+Double,5
null,reference,2H,0.0054,SRV+Double,5
null,test,2H,0.0,SRV+Double,5
alternative,reference,2H,0.083,SRV+Double,6
alternative,reference,2H,0.0053,SRV+Double,6
alternative,test,2H,0.0,SRV+Double,6
null,reference,2H,0.0055,SRV+Double,6
null,reference,2H,0.0054,SRV+Double,6
null,test,2H,0.0,SRV+Double,6
alternative,reference,2H,0.0831,SRV+Double,7
alternative,reference,2H,0.0055,SRV+Double,7
alternative,test,2H,0.0,SRV+Double,7
null,reference,2H,0.0056,SRV+Double,7
null,reference,2H,0.0055,SRV+Double,7
null,test,2H,0.0,SRV+Double,7
alternative,reference,2H,0.0829,SRV+Double,8
alternative,reference,2H,0.0055,SRV+Double,8
alternative,test,2H,0.0,SRV+Double,8
null,reference,2H,0.0056,SRV+Double,8
null,reference,2H,0.0055,SRV+Double,8
null,test,2H,0.0,SRV+Double,8
alternative,reference,2H,0.0827,SRV+Double,9
alternative,reference,2H,0.0054,SRV+Double,9
alternative,test,2H,0.0,SRV+Double,9
null,reference,2H,0.0055,SRV+Double,9
null,reference,2H,0.0054,SRV+Double,9
null,test,2H,0.0,SRV+Double,9
alternative,reference,2H,0.0833,SRV+Double,10
alternative,reference,2H,0.0054,SRV+Double,10
alternative,test,2H,0.0,SRV+Double,10
null,reference,2H,0.0056,SRV+Double,10
null,reference,2H,0.0054,SRV+Double,10
null,test,2H,0.0,SRV+Double,10
alternative,reference,2H,0.0738,SRV+Double+Triple,1
alternative,reference,2H,0.0056,SRV+Double+Triple,1
alternative,reference,3H,0.0,SRV+Double+Triple,1
alternative,test,2H,0.0,SRV+Double+Triple,1
alternative,test,3H,0.0,SRV+Double+Triple,1
null,reference,2H,0.0056,SRV+Double+Triple,1
null,reference,2H,0.0055,SRV+Double+Triple,1
null,reference,3H,0.0,SRV+Double+Triple,1
null,test,2H,0.0,SRV+Double+Triple,1
null,test,3H,0.0,SRV+Double+Triple,1
alternative,reference,2H,0.0735,SRV+Double+Triple,2
alternative,reference,2H,0.0054,SRV+Double+Triple,2
alternative,reference,3H,0.0,SRV+Double+Triple,2
alternative,test,2H,0.0,SRV+Double+Triple,2
alternative,test,3H,0.0,SRV+Double+Triple,2
null,reference,2H,0.0056,SRV+Double+Triple,2
null,reference,3H,0.0,SRV+Double+Triple,2
null,test,2H,0.0,SRV+Double+Triple,2
null,test,3H,0.0,SRV+Double+Triple,2
alternative,reference,2H,0.0733,SRV+Double+Triple,3
alternative,reference,2H,0.0054,SRV+Double+Triple,3
alternative,reference,3H,0.0,SRV+Double+Triple,3
alternative,test,2H,0.0,SRV+Double+Triple,3
alternative,test,3H,0.0,SRV+Double+Triple,3
null,reference,2H,0.0055,SRV+Double+Triple,3
null,reference,3H,0.0,SRV+Double+Triple,3
null,test,2H,0.0,SRV+Double+Triple,3
null,test,3H,0.0,SRV+Double+Triple,3
alternative,reference,2H,0.0734,SRV+Double+Triple,4
alternative,reference,2H,0.0053,SRV+Double+Triple,4
alternative,reference,3H,0.0,SRV+Double+Triple,4
alternative,test,2H,0.0,SRV+Double+Triple,4
alternative,test,3H,0.0,SRV+Double+Triple,4
null,reference,2H,0.0055,SRV+Double+Triple,4
null,reference,2H,0.0054,SRV+Double+Triple,4
null,reference,3H,0.0,SRV+Double+Triple,4
null,test,2H,0.0,SRV+Double+Triple,4
null,test,3H,0.0,SRV+Double+Triple,4
alternative,reference,2H,0.0736,SRV+Double+Triple,5
alternative,reference,2H,0.0053,SRV+Double+Triple,5
alternative,reference,3H,0.0,SRV+Double+Triple,5
alternative,test,2H,0.0,SRV+Double+Triple,5
alternative,test,3H,0.0,SRV+Double+Triple,5
null,reference,2H,0.0056,SRV+Double+Triple,5
null,reference,2H,0.0054,SRV+Double+Triple,5
null,reference,3H,0.0,SRV+Double+Triple,5
null,test,2H,0.0,SRV+Double+Triple,5
null,test,3H,0.0,SRV+Double+Triple,5
alternative,reference,2H,0.0741,SRV+Double+Triple,6
alternative,reference,2H,0.0056,SRV+Double+Triple,6
alternative,reference,3H,0.0,SRV+Double+Triple,6
alternative,test,2H,0.0,SRV+Double+Triple,6
alternative,test,3H,0.0,SRV+Double+Triple,6
null,reference,2H,0.0056,SRV+Double+Triple,6
null,reference,2H,0.0055,SRV+Double+Triple,6
null,reference,3H,0.0,SRV+Double+Triple,6
null,test,2H,0.0,SRV+Double+Triple,6
null,test,3H,0.0,SRV+Double+Triple,6
alternative,reference,2H,0.0743,SRV+Double+Triple,7
alternative,reference,2H,0.0055,SRV+Double+Triple,7
alternative,reference,3H,0.0,SRV+Double+Triple,7
alternative,test,2H,0.0,SRV+Double+Triple,7
alternative,test,3H,0.0,SRV+Double+Triple,7
null,reference,2H,0.0056,SRV+Double+Triple,7
null,reference,2H,0.0054,SRV+Double+Triple,7
null,reference,3H,0.0,SRV+Double+Triple,7
null,test,2H,0.0,SRV+Double+Triple,7
null,test,3H,0.0,SRV+Double+Triple,7
alternative,reference,2H,0.0732,SRV+Double+Triple,8
alternative,reference,2H,0.0056,SRV+Double+Triple,8
alternative,reference,3H,0.0,SRV+Double+Triple,8
alternative,test,2H,0.0,SRV+Double+Triple,8
alternative,test,3H,0.0,SRV+Double+Triple,8
null,reference,2H,0.0055,SRV+Double+Triple,8
null,reference,3H,0.0,SRV+Double+Triple,8
